task,modality,agent_candidate,agent_score,global_candidate,global_score,random_mean,random_sd,oracle_candidate,oracle_score
heldout-cancer-half-features,tabular,sgd-log_loss-a0.01,0.935672514619883,sgd-log_loss-a0.01,0.935672514619883,0.9251345029239765,0.010168222980760597,linearsvc-c12.743-b1,0.935672514619883
heldout-diabetes-above-median,tabular,sgd-log_loss-a0.01,0.7819548872180451,sgd-log_loss-a0.01,0.7819548872180451,0.6971804511278197,0.08559587375127735,linearsvc-c12.743-b1,0.7894736842105263
heldout-digits-noisy,image,sgd-log_loss-a1.67e-05,0.9095238095238096,sgd-log_loss-a0.01,0.9261904761904762,0.9100988095238095,0.013950093653112679,knn-k15-distance,0.9333333333333332
heldout-digits-noisy-parity,image,knn-k1-uniform,0.9404761904761904,sgd-log_loss-a0.01,0.8761904761904762,0.8832916666666666,0.041920261496638495,knn-k15-distance,0.9476190476190476
heldout-digits-shifted,image,sgd-log_loss-a1.67e-05,0.9642857142857144,sgd-log_loss-a0.01,0.9428571428571428,0.9442619047619049,0.014534057911482849,sgd-log_loss-a1.67e-05,0.9642857142857144
heldout-iris-setosa,tabular,knn-k15-distance,1.0,sgd-log_loss-a0.01,1.0,1.0,0.0,logreg-c0.001-b0,1.0
heldout-text-computer-systems,text,sgd-log_loss-a1.67e-05,0.7880952380952381,sgd-log_loss-a0.01,0.8380952380952381,0.7041476190476191,0.13840347277209816,sgd-log_loss-a0.01,0.8380952380952381
heldout-text-religion,text,linearsvc-c12.743-b1,0.7642857142857142,sgd-log_loss-a0.01,0.8214285714285714,0.687847619047619,0.10458770602246527,sgd-log_loss-a0.01,0.8214285714285714
heldout-text-science,text,linearsvc-c12.743-b1,0.8738095238095238,sgd-log_loss-a0.01,0.9023809523809524,0.7587392857142856,0.15041360944269938,sgd-log_loss-a0.01,0.9023809523809524
heldout-wine-class-zero,tabular,sgd-log_loss-a0.01,1.0,sgd-log_loss-a0.01,1.0,0.9738055555555555,0.03798234891913228,linearsvc-c12.743-b1,1.0
