task,split,modality,candidate_id,family,score,status,error,fit_seconds,task_log_samples,task_log_features,task_classes,task_imbalance,task_sparse,task_mod_tabular,task_mod_image,task_mod_text,cand_fam_logreg,cand_fam_linearsvc,cand_fam_sgd,cand_fam_knn,cand_strength,cand_balanced,cand_variant_distance,cand_variant_log
train-breast-cancer,train,tabular,logreg-c0.001-b0,logreg,0.9239766081871345,success,,0.003400375000637723,6.345636360828596,3.4339872044851463,2.0,0.6274165202108963,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0
train-breast-cancer,train,tabular,logreg-c0.0020691-b0,logreg,0.9239766081871345,success,,0.0016129999985423638,6.345636360828596,3.4339872044851463,2.0,0.6274165202108963,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,-2.6842105263157894,0.0,0.0,0.0
train-breast-cancer,train,tabular,logreg-c0.0042813-b0,logreg,0.9473684210526315,success,,0.001417666000634199,6.345636360828596,3.4339872044851463,2.0,0.6274165202108963,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,-2.3684210526315788,0.0,0.0,0.0
train-breast-cancer,train,tabular,logreg-c0.0088587-b0,logreg,0.9532163742690059,success,,0.0014110829997662222,6.345636360828596,3.4339872044851463,2.0,0.6274165202108963,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,-2.0526315789473686,0.0,0.0,0.0
train-breast-cancer,train,tabular,logreg-c0.01833-b0,logreg,0.9590643274853801,success,,0.0018887919995904667,6.345636360828596,3.4339872044851463,2.0,0.6274165202108963,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.736842105263158,0.0,0.0,0.0
train-breast-cancer,train,tabular,logreg-c0.037927-b0,logreg,0.9532163742690059,success,,0.001683167000010144,6.345636360828596,3.4339872044851463,2.0,0.6274165202108963,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.4210526315789473,0.0,0.0,0.0
train-breast-cancer,train,tabular,logreg-c0.078476-b0,logreg,0.9649122807017544,success,,0.0015384999987873016,6.345636360828596,3.4339872044851463,2.0,0.6274165202108963,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.105263157894737,0.0,0.0,0.0
train-breast-cancer,train,tabular,logreg-c0.16238-b0,logreg,0.9590643274853801,success,,0.0015313749991037184,6.345636360828596,3.4339872044851463,2.0,0.6274165202108963,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.7894736842105265,0.0,0.0,0.0
train-breast-cancer,train,tabular,logreg-c0.33598-b0,logreg,0.9590643274853801,success,,0.0015721670006314525,6.345636360828596,3.4339872044851463,2.0,0.6274165202108963,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.47368421052631593,0.0,0.0,0.0
train-breast-cancer,train,tabular,logreg-c0.69519-b0,logreg,0.9590643274853801,success,,0.0016812920002848841,6.345636360828596,3.4339872044851463,2.0,0.6274165202108963,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.15789473684210528,0.0,0.0,0.0
train-breast-cancer,train,tabular,logreg-c1.4384-b0,logreg,0.9590643274853801,success,,0.0020583749992511002,6.345636360828596,3.4339872044851463,2.0,0.6274165202108963,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.15789473684210534,0.0,0.0,0.0
train-breast-cancer,train,tabular,logreg-c2.9764-b0,logreg,0.9532163742690059,success,,0.0019917500012525124,6.345636360828596,3.4339872044851463,2.0,0.6274165202108963,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.4736842105263155,0.0,0.0,0.0
train-breast-cancer,train,tabular,logreg-c6.1585-b0,logreg,0.9473684210526315,success,,0.0021173749992158264,6.345636360828596,3.4339872044851463,2.0,0.6274165202108963,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.7894736842105261,0.0,0.0,0.0
train-breast-cancer,train,tabular,logreg-c12.743-b0,logreg,0.935672514619883,success,,0.0022521669998241123,6.345636360828596,3.4339872044851463,2.0,0.6274165202108963,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.1052631578947363,0.0,0.0,0.0
train-breast-cancer,train,tabular,logreg-c26.367-b0,logreg,0.9298245614035088,success,,0.002206417000707006,6.345636360828596,3.4339872044851463,2.0,0.6274165202108963,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.421052631578947,0.0,0.0,0.0
train-breast-cancer,train,tabular,logreg-c54.556-b0,logreg,0.9298245614035088,success,,0.0024565830008214107,6.345636360828596,3.4339872044851463,2.0,0.6274165202108963,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.7368421052631575,0.0,0.0,0.0
train-breast-cancer,train,tabular,logreg-c112.88-b0,logreg,0.9298245614035088,success,,0.0024590840002929326,6.345636360828596,3.4339872044851463,2.0,0.6274165202108963,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.052631578947368,0.0,0.0,0.0
train-breast-cancer,train,tabular,logreg-c233.57-b0,logreg,0.9298245614035088,success,,0.002378124998358544,6.345636360828596,3.4339872044851463,2.0,0.6274165202108963,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.3684210526315788,0.0,0.0,0.0
train-breast-cancer,train,tabular,logreg-c483.29-b0,logreg,0.9298245614035088,success,,0.002225791999080684,6.345636360828596,3.4339872044851463,2.0,0.6274165202108963,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.6842105263157894,0.0,0.0,0.0
train-breast-cancer,train,tabular,logreg-c1000-b0,logreg,0.9239766081871345,success,,0.0023599999985890463,6.345636360828596,3.4339872044851463,2.0,0.6274165202108963,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
train-breast-cancer,train,tabular,logreg-c0.001-b1,logreg,0.9298245614035088,success,,0.0013732920015172567,6.345636360828596,3.4339872044851463,2.0,0.6274165202108963,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,-3.0,1.0,0.0,0.0
train-breast-cancer,train,tabular,logreg-c0.0020691-b1,logreg,0.935672514619883,success,,0.0012940420001541497,6.345636360828596,3.4339872044851463,2.0,0.6274165202108963,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,-2.6842105263157894,1.0,0.0,0.0
