model,syntax_gm,semantic_gm
Qwen-2.5-Instruct-7B,8.53,5.62
Qwen-2.5-Coder-7B,8.96,7.75
Qwen-2.5-Coder-32B,20.26,23.45
Qwen-3-Instruct-235B,20.47,15.5
Qwen-3-Coder-Instruct-30B,20.9,15.12
Qwen-3-Coder-Instruct-480B,23.88,19.96
QwQ-32B,20.51,15.31
Seed-Coder-Instruct-8B,14.93,14.15
OmniSQL-32B,6.4,6.4
DeepSeek-V3-685B,30.28,21.32
DeepSeek-V3.1-685B,30.49,14.73
DeepSeek-R1-671B,21.98,22.09
Claude-4-Sonnet,36.46,32.17
GPT-4o-mini-2024-07-18,4.69,6.4
GPT-4o-2024-11-20,4.69,4.84
GPT-4.1,17.7,17.05
GPT-5,18.55,16.47
Gemini-2.5-Pro,21.54,23.06
Kimi-K2,27.72,20.93
O1-preview,21.11,11.43
O3-mini,19.83,28.68
Doubao-Seed-1.6,30.92,20.93
Doubao-Seed-1.6-flash,3.63,3.11
Doubao-Seed-1.6-thinking,23.24,20.93
